Class	Prefix	Product	HPR	core
MAP System	MAP	M.A.P. SYSTEM - SYSTEM CONTROL UNIT	No	1
Medfusion 3500	JNA	"MEDFUSION 3500 SYRINGE PUMP,128 MEMORY"	No	1
Medfusion 3500	JYB	"MEDFUSION 3500 SYRINGE V6 SW, 128 MEM"	No	1
Medfusion 4000	JYA	MEDFUSION 4000 SYRINGE PUMP	Yes	1
Medley LVP	EEU	MEDLEY PUMP MODULE LVP	Yes	1
Medley LVP	EEX	MEDLEY PUMP MODULE LVP	Yes	1
Medley LVP	EFC	MEDLEY PUMP MODULE LVP	Yes	1
Medley LVP	EFG	MEDLEY PUMP MODULE LVP	Yes	1
Medley LVP	FFL	MEDLEY PUMP MODULE LVP *MEMORIAL HERMANN	Yes	1
Medley LVP	IAP	MEDLEY PUMP MODULE LVP	Yes	1
Medley LVP	MOD	MEDLEY PUMP MODULE LVP	Yes	1
Medley LVP	MOE	MEDLEY PUMP MODULE LVP	Yes	1
Medley LVP	MOF	MEDLEY PUMP MODULE LVP	Yes	1
Medley LVP	ZMT	MEDLEY LVP MODULE - MED ONE	Yes	1
Medley PCA	EFJ	MEDLEY PCA PUMP MODULE	Yes	1
Medley PCA	FFA	MEDLEY PCA PUMP MODULE *MEMORIAL HERMANN	Yes	1
Medley PCU	BRN	MEDLEY PROGRAMMING MODULE W/NETWORK CARD	Yes	1
Medley PCU	EFO	MEDLEY PROGRAMMING MODULE W/NETWORK CARD	Yes	1
Medley PCU	EFZ	MEDLEY PROGRAMMING MODULE W/NETWORK CARD	Yes	1
Medley PCU	EGE	MEDLEY PROGRAMMING MODULE W/NETWORK CARD	Yes	1
Medley PCU	EGF	MEDLEY PROGRAMMING MODULE W/NETWORK CARD	Yes	1
Medley PCU	FFC	MEDLEY PCU W/NETWORK *MH CHILDRENS*	Yes	1
Medley PCU	FFP	MEDLEY PCU W/NETWORK *MEMORIAL HERMANN*	Yes	1
Medley PCU	IAR	MEDLEY PROGRAMMING MODULE	Yes	1
Medley PCU	ZMS	MEDLEY PCU W/NETWORK CARD - MED ONE	Yes	1
Medley Syringe	EFE	MEDLEY SYRINGE PUMP MODULE	Yes	1
Medley Syringe	FFS	MEDLEY SYRINGE PUMP *MEMORIAL HERMANN*	Yes	1
PB840	AHD	"840 W BL, TC, NM"	Yes	1
PB840	AJA	"840 W BL, TC"	Yes	1
PB840	ANK	"840 W BL, TC, NM, VV+, PAV+, RM"	Yes	1
PB840	ANS	"840 W BL, TC, NM, VV+"	Yes	1
PB840	ANX	"840 W BL, TC, NM, VV+, LC, NM2.0"	Yes	1
PB840	AOL	"840 W BL,TC,NM,VV+,LC,NM2.0, TRENDING"	Yes	1
PB840	BNU	"840 W BL, TC, NM, VV+, RM, LC"	Yes	1
PB840	BNV	"840 W BL, TC, NM, VV+, PAV+, LC, NM2.0"	Yes	1
PB840	BNX	"840 W BL, TC, NM, VV+, PAV+, RM, TRENDIN"	Yes	1
PB840	BNY	"840 W BL, TC, NM, VV+, PAV+, TRENDING"	Yes	1
PB840	BNZ	"840 W BL, TC, NM, VV+, RM"	Yes	1
PB840	BOK	"840 W BL, TC, NM, VV+, TRENDING"	Yes	1
PB840	BOL	"840 W BL, TC, VV+, PAV+"	Yes	1
PB840	BOM	"840 W BL, TC, NM, PAV+, RM"	Yes	1
PB840	BON	"840 W BL, VV+"	Yes	1
PB840	BOO	"840 W BL, TC, NM, VV+, NM2.0"	Yes	1
PB840	BOP	840 W BL	Yes	1
PB840	BOQ	840 W BL	Yes	1
PB840	BOR	"840 W BL, TC, TRENDING"	Yes	1
PB840	BOS	"840 W BL, TC, RM"	Yes	1
PB840	BOT	"840 W BL, TC, NM, VV+, PAV+"	Yes	1
PB840	BOU	"840 W BL, TC, NM, RM"	Yes	1
PB840	BUA	"840 W BL, TC, VV+"	Yes	1
PB980	BUC	"980 VENT W/BL 2.0,NEOMODE 2.0,PROX FLOW"	No	1
PB980	BUD	980 VENT-NO COMPRESSOR	No	1
Plum 360	EWA	PLUM 360 PUMP	No	1
Plum A+	EYF	PLUM A+ MULTI MODE W/SECONDARY DEL 10.3	No	1
Plum A+	EYJ	PLUM A+3 CHANNEL - 11.3 SW	No	1
Plum A+	EYK	PLUM A+ 11.3 SOFTWARE	No	1
Plum A+	EYL	PLUM A+3 CHANNEL WITH 10.3 SW	No	1
Plum A+	EYP	PLUM A+ W/MEDNET CARD-INACTIVE	No	1
Plum A+	EYQ	PLUM A+ PUMP FOR USE WITH FIRMWARE	No	1
Plum A+	EYR	PLUM A+3 PUMP FOR USE WITH FIRMWARE	No	1
Plum A+	EYY	PLUM A+ PUMP USE FOR WITH FIRMWARE W/ABG	No	1
Plum A+	EYZ	PLUM A+3 PUMP FOR USE W FIRMWARE W/ABG	No	1
Plum A+	ZFQ	PLUM A+ PUMP FOR USE WITH FIRMWARE	No	1
Plum A+	ZFS	PLUM A+3 INFUSION PUMP	No	1
Posey 8070	TIW	POSEY 8070 STAY SAFE BED FRAME	No	1
Posey 8070	TQW	POSEY 8070 STAY SAFE BED FRAME	No	1
Pulse Oximeters	DHY	N-595 OXIMETER	Yes	1
Pulse Oximeters	MEV	N-600 OXIMETER	Yes	1
Pulse Oximeters	NSX	N-600X OXIMETER	Yes	1
Sapphire MT&Epridural	SAQ	SAPPHIRE MULTI THERAPY PUMP KIT W/BOLUS	No	1
Sapphire MT&Epridural	SAR	SAPPHIRE EPIDURAL PUMP KIT W/ BOLUS	No	1
Sapphire Plus	SAS	SAPPHIRE+ LARGE VOLUME PUMP	No	1
Secure II & III Beds	ZNT	"S3 EX MED SURG BED,SCALE,BED EXIT, 500LB"	Yes	1
Secure II & III Beds	ZRI	"SECURE II BED-35X84,500LB,HGT=16L-30H"	Yes	1
Secure II & III Beds	ZTI	SECURE 3 BED	Yes	1
Sentech 1400 Mattress	TOD	"ST1400 LAL/AP MRS W/BOLSTR,500LB,36X80X7"	No	1
Servo I	DSS	"SERVO I W/UNIVERSAL PLATFORM, AUTOMD,STD"	Yes	1
Servo I	DSX	SERVO I W ADULT PLTFORM	Yes	1
Servo I	DTD	"SERVO I UNIV PLTFRM,NURSE CAL,AUTO M,STD"	Yes	1
Servo I	DTE	"SERVO I V1.3SW W UNIVERSAL PLTFORM,AUTOM"	Yes	1
Servo I	DTJ	SERVO I UNIV PLTFRM W/CO2	Yes	1
Servo I	DTL	"SERVOI W UNIV,AUTO,CO2,BIVENT,NONINV VNT"	Yes	1
Servo I	JAX	"SERVOI UNIV W AUTO,CO2,BI-VENT,NONINV VT"	Yes	1
Servo I	JKA	SERVO I ADULT W/ ETCO2	Yes	1
Servo I	RAQ	"SERVOI MRI COMP UNIV W AUTO,CO2,BI-VENT"	Yes	1
Servo I	RAS	"SERVOI W UNIV,AUTO,CO2,BIV,NONINV,NAVA"	Yes	1
Sigma V6	JKF	"SIGMA SPECTRUM, USES BAXTER TUBING"	Yes	1
Sigma V6	JKI	SIGMA SPECTRUM USES HOSPIRA TUBING-WIRED	Yes	1
Sigma V6	JKJ	"SIGMA SPECTRUM - BAXTER, 6.02.XX SW"	Yes	1
Sigma V6	JKT	"SIGMA SPECTRUM BAXTER-SW ""C"""	Yes	1
Sigma V6	JKX	SIGMA SPECTRUM WIRELESS - 6.02 SW	Yes	1
Sigma V6	JNT	SIGMA SPECTRUM HOSPIRA CONFIG WIRELESS	Yes	1
Sigma V6	JNU	"SIGMA SPECTRUM-BAXTER 6.05.XX SW,NON-WL"	Yes	1
Sigma V6	JNX	SIGMA SPECTRUM WIRELESS - 6.05 SW	Yes	1
Sigma V8	JQA	SIGMA SPECTRUM - 8.X SOFTWARE WIRELESS	Yes	1
SmartVest	FAY	MEDPULSE SMARTVEST AIRWAY CLEAR SYSTEM	No	1
SmartVest	FDY	SMARTVEST TRIMLINE AIRWAY CLEAR SYSTEM	No	1
Space Pump	JNE	SPACE INFUSOMAT SW 686G030102	No	1
Space Pump	JNV	SPACE INFUSOMAT SW 686G030103	No	1
Space Pump	JNZ	SPACE INFUSOMAT SW 686G030002	No	1
UHS Owned KCI	NPD	INFOVAC THERAPY SYSTEM	Yes	1
UHS Owned KCI	NPE	ULTA VAC NPWT SYSTEM	Yes	1
V60	RPX	V60 NIV VENTILATOR WITH STAND	Yes	1
V60	RQF	V60 NIV VENTILATOR W/ PPV MODE	Yes	1
V60	RRX	V60 NIV VENTILATOR MODE	Yes	1
Vela	DRT	VELA VENTILATOR-COMPREHENSIVE	No	1
Vela	DTB	VELA VENT   BASIC	No	1
Vela	DTY	VELA DIAMOND-COMPREHENSIVE	No	1
Vision	AIK	VISION BIPAP SYSTEM W STAND	No	1
Cub Crib	ZRP	"CUB PEDIATRIC CRIB,29.5X57,400LB W/SCALE"	No	1
Cub Crib	ZTK	CUB PEDIATRIC CRIB W/FIXED BASE NO SCALE	No	1
Cub Crib	YRP	"CUB PEDIATRIC CRIB, HYD BASE, NO SCALE"	No	1
Vapotherm	MGE	VAPOTHERM PRECISION FLOW HUMIDIFIER	No	1
ETC02	SH	INTERMITTENT WALL SUC REG	No	1
Gendron Bari Bed	TSE	ELITE BARI BED W/DRIVE SYSTEM	No	1
Gendron Bari Bed	TJQ	"SENTINEL II BARI LO BED,9.75""L0 HT,850LB"	No	1
Gendron Bari Bed	TJM	"ELITE BARI BED,39/48/54""W,84-92""L,1000LB"	No	1
Gendron Bari Bed	TLC	"MAXI REST BARIATRIC BED, 1000LB 39/48/54"	No	1
Gendron Bari Bed	TLK	MAXI REST BARIATRIC BED - 750LB	No	1
OnCare Bari Dolphin	TJT	"DOLPHIN BARIATRIC MATTRESS-48"", 1000LB"	Yes	1
OnCare Dolphin	TJR	"DOLPHIN 10"" MATTRESS REPLACEMENT, 500LB"	Yes	1
OnCare Dolphin	TJU	"DOLPHIN MATTRESS FOR VERSACARE BED,500LB"	Yes	1
OnCare Dolphin	TOO	"DOLPHIN MATTRESS 48""X86""X10"""	Yes	1
OnCare Dolphin	TQL	"DOLPHIN MATTRESS 8""CELL W/2""FOAM, 500LB"	Yes	1
OnCare Dolphin	TRG	"DOLPHIN MATTRESS - 8"""	Yes	1
Medley ETCO2	EFU	ETCO2 MODULE	No	1
Omni Beds	ECY	GIRAFFE OMNIBED W SCALE	No	1
Omni Beds	EDC	"GIRAFFE OMNI BED W/SCALE, ELEV BASE"	No	1
Trilogy	TRL	TRILOGY 100 VENTILATOR	Yes	1
Trilogy	TRN	TRILOGY 202 VENTILATOR	Yes	1
Trilogy	TTL	TRILOGY 200 VENILATOR	Yes	1
Trilogy	TTM	TRILOGY EC VENTILATOR	Yes	1
LTV	DVG	LTV 1150 VENTILATOR	Yes	1
LTV	DVA	LTV 1200 VENTILATOR	Yes	1
LTV	EBR	LTV 1000 VENTILATOR	Yes	1
LTV	FAO	LTV 950 VENT	Yes	1
OnCare Quartet	OQA	"ONCARE QUARTET W/AUTO IMM,LAL/PUL/AP,36"""	No	1
OnCare Quartet	OQD	"ONCARE QUARTET TA W/AIMM/LAL/AP/PULS,36"""	No	1
OnCare Quartet	OQG	"ONCARE QUARTET CLRT W/AIM,LAL,AP,PUL,36"""	No	1
Stretcher	ZSE	"SM104 STRETCHER, 30""X84"",700LB,5TH WHEEL"	No	1
Stretcher	ZNQ	"PRIME STRETCHER 5TH W/SCALE,700LB,30"" STRYKER"	No	1
Stretcher	ZRR	"SM304 STRETCHER W/ZOOM/SCALE-30X75,700LB"	No	1
Stretcher	ZRT	"SM204 BIG WHEEL STRETCHER,30X75,700LB"	No	1
Huntleigh SCD	FDT	FLOWTRON ACS900-ACTIVE COMPRESSION SYSTM HUNTLEIGH	No	1
Huntleigh SCD	FDQ	FLOWTRON SCD AC800 - 7' TUBING	No	1
Skinguard	OSG	"SKIN GUARD MATTRESS, LAL/PULSE/AP, 360LB"	No	1
Optiflow	OPT	OPTIFLOW SYSTEM WITH MAX VENTURI	No	1
Infant Flow Sipap	SEO	"INFANT FLOW SIPAP, PLUS "	No	1
Flowtron	FBI	FLOWTRON EXCEL LEG COMPRESSION PUMP	No	1
Air II Controller	ZSX	 AIR I/II LAL/PULSATE PUMP 	No	1
Arise 1000 Controller	ZSM	 BARIATRIC AP/LAL CONTROLLER 	No	1
Dolphin Controller	TJS	 DOLPHIN CONTROLLER 	No	1
Dolphin Controller	TJV	 DOLPHIN CONTROLLER-COMPATIBLE W/ALL MATS JOERNS 	No	1
Dolphin Controller	TQM	ONCARE DOLPHIN CONTROLLER-COMPAT W/ALL	No	1
Sentech 1400 Controller	TOF	 ST1400 LAL/AP CONTROLLER 	No	1
SkinGuard Controller	OSH	"SKIN GUARD PUMP, LAL/AP/PULSE "	No	1
Quartet Controller	OQC	" ONCARE QUARTET CONTROLR W/AIM,LAL,PUL/AP"	No	1
Quartet Controller	OQI	" ONCARE CLRT CONTRL W/AIM,LAL,AP,PULS "	No	1
